ID,Trips_Per_Day,Distance_Travelled_PassengerKm_Per_Day,Time_Travelled_Minutes_Per_Day,Trips_Per_Year,Distance_Travelled_PassengerKm_Per_Year,Time_Travelled_Hours_Per_Year,TravelMotives,Population,TravelModes,Margins,RegionCharacteristics,Period
11591,0.15,0.74,3.12,54.0,270.0,19.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Extremely urbanised,2023
11592,0.16,0.72,2.95,57.0,264.0,18.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Strongly urbanised,2018
11593,0.15,0.73,2.85,54.0,265.0,17.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Strongly urbanised,2019
11594,0.11,0.45,1.88,39.0,164.0,11.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Strongly urbanised,2020
11595,0.11,0.47,2.09,40.0,171.0,12.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Strongly urbanised,2021
11596,0.12,0.56,2.36,44.0,205.0,14.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Strongly urbanised,2022
11597,0.13,0.59,2.42,47.0,215.0,14.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Strongly urbanised,2023
11598,0.14,0.66,2.56,52.0,240.0,15.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Moderately urbanised,2018
11599,0.14,0.67,2.6,52.0,244.0,15.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Moderately urbanised,2019
11600,0.12,0.51,2.17,45.0,185.0,13.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Moderately urbanised,2020
11601,0.11,0.47,2.05,41.0,172.0,12.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Moderately urbanised,2021
11602,0.13,0.59,2.41,48.0,217.0,14.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Moderately urbanised,2022
11603,0.12,0.56,2.24,45.0,204.0,13.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Moderately urbanised,2023
11604,0.13,0.56,2.2,49.0,204.0,13.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Hardly urbanised,2018
11605,0.13,0.6,2.35,47.0,220.0,14.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Hardly urbanised,2019
11606,0.09,0.44,1.69,35.0,161.0,10.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Hardly urbanised,2020
11607,0.1,0.44,1.86,37.0,160.0,11.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Hardly urbanised,2021
11608,0.12,0.56,2.16,43.0,203.0,13.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Hardly urbanised,2022
11609,0.12,0.58,2.25,43.0,211.0,13.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Hardly urbanised,2023
11610,0.13,0.6,2.29,46.0,220.0,13.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Not urbanised,2018
11611,0.11,0.44,1.61,39.0,161.0,9.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Not urbanised,2019
11612,0.1,0.49,2.01,37.0,178.0,12.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Not urbanised,2020
11613,0.1,0.49,1.92,38.0,178.0,11.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Not urbanised,2021
11614,0.11,0.46,1.76,39.0,168.0,10.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Not urbanised,2022
11615,0.09,0.42,1.55,34.0,152.0,9.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Bike,Value,Not urbanised,2023
11880,0.03,0.06,0.31,9.0,23.0,1.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,The Netherlands,2018
11881,0.02,0.07,0.31,8.0,24.0,1.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,The Netherlands,2019
11882,0.02,0.03,0.22,7.0,12.0,1.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,The Netherlands,2020
11883,0.02,0.03,0.24,8.0,12.0,1.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,The Netherlands,2021
11884,0.02,0.04,0.28,8.0,16.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,The Netherlands,2022
11885,0.02,0.05,0.34,8.0,19.0,2.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,The Netherlands,2023
11886,0.02,0.03,0.17,7.0,12.0,1.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Nederland (LD),2018
11891,0.03,0.03,0.29,9.0,12.0,1.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Nederland (LD),2023
11892,0.02,0.05,0.26,8.0,19.0,1.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Oost-Nederland (LD),2018
11894,0.02,0.03,0.16,6.0,9.0,1.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Oost-Nederland (LD),2020
11895,0.02,0.03,0.22,8.0,10.0,1.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Oost-Nederland (LD),2021
11896,0.02,0.04,0.22,8.0,13.0,1.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Oost-Nederland (LD),2022
11897,0.02,0.04,0.3,8.0,16.0,1.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Oost-Nederland (LD),2023
11898,0.03,0.09,0.37,11.0,32.0,2.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,West-Nederland (LD),2018
11899,0.02,0.09,0.34,8.0,31.0,2.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,West-Nederland (LD),2019
11900,0.02,0.04,0.27,7.0,16.0,1.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,West-Nederland (LD),2020
11901,0.02,0.04,0.27,8.0,14.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,West-Nederland (LD),2021
11902,0.02,0.06,0.32,9.0,20.0,2.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,West-Nederland (LD),2022
11903,0.02,0.06,0.32,8.0,23.0,2.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,West-Nederland (LD),2023
11905,0.03,0.05,0.27,9.0,18.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2019
11906,0.02,0.03,0.25,8.0,9.0,1.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2020
11907,0.02,0.03,0.21,9.0,9.0,1.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2021
11908,0.02,0.04,0.27,9.0,13.0,1.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2022
11940,0.02,0.05,0.25,8.0,17.0,1.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Gelderland (PV),2018
11943,0.02,0.02,0.22,7.0,9.0,1.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Gelderland (PV),2021
11944,0.02,0.04,0.21,7.0,13.0,1.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Gelderland (PV),2022
11946,0.03,0.07,0.27,9.0,25.0,1.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Utrecht (PV),2018
11948,0.02,0.03,0.14,6.0,12.0,0.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Utrecht (PV),2020
11949,0.02,0.03,0.18,6.0,12.0,1.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Utrecht (PV),2021
11950,0.02,0.04,0.24,8.0,16.0,1.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Utrecht (PV),2022
11951,0.02,0.06,0.26,7.0,21.0,1.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Utrecht (PV),2023
11952,0.03,0.1,0.35,11.0,37.0,2.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2018
11953,0.02,0.1,0.33,7.0,36.0,2.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2019
11955,0.02,0.04,0.29,8.0,15.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2021
11956,0.02,0.06,0.28,9.0,20.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2022
11957,0.02,0.07,0.35,8.0,25.0,2.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2023
11958,0.03,0.09,0.42,12.0,32.0,2.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2018
11960,0.02,0.04,0.24,7.0,14.0,1.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2020
11961,0.02,0.04,0.29,8.0,14.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2021
11962,0.03,0.06,0.39,9.0,22.0,2.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2022
11963,0.02,0.07,0.33,9.0,24.0,2.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2023
11971,0.03,0.05,0.27,10.0,18.0,1.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2019
11972,0.02,0.03,0.2,7.0,10.0,1.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2020
11973,0.02,0.03,0.21,9.0,9.0,1.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2021
11974,0.02,0.04,0.24,8.0,13.0,1.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2022
11980,0.03,0.04,0.31,11.0,14.0,1.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Limburg (PV),2022
11982,0.04,0.12,0.52,13.0,43.0,3.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Extremely urbanised,2018
11983,0.03,0.11,0.46,11.0,39.0,2.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Extremely urbanised,2019
11984,0.02,0.06,0.4,8.0,21.0,2.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Extremely urbanised,2020
11985,0.02,0.05,0.35,8.0,18.0,2.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Extremely urbanised,2021
11986,0.03,0.07,0.37,9.0,24.0,2.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Extremely urbanised,2022
11987,0.03,0.09,0.44,11.0,32.0,2.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Extremely urbanised,2023
11988,0.03,0.07,0.38,10.0,25.0,2.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Strongly urbanised,2018
11989,0.02,0.07,0.4,8.0,26.0,2.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Strongly urbanised,2019
11990,0.02,0.03,0.21,7.0,12.0,1.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Strongly urbanised,2020
11991,0.02,0.03,0.25,8.0,12.0,1.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Strongly urbanised,2021
11992,0.02,0.04,0.28,8.0,16.0,1.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Strongly urbanised,2022
11993,0.02,0.05,0.33,7.0,19.0,2.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Strongly urbanised,2023
11994,0.02,0.05,0.17,8.0,17.0,1.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Moderately urbanised,2018
11995,0.02,0.05,0.2,7.0,18.0,1.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Moderately urbanised,2019
11996,0.02,0.02,0.13,6.0,9.0,0.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Moderately urbanised,2020
11997,0.02,0.02,0.15,7.0,7.0,0.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Moderately urbanised,2021
11998,0.02,0.04,0.3,9.0,13.0,1.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Moderately urbanised,2022
11999,0.02,0.04,0.22,7.0,14.0,1.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Moderately urbanised,2023
12000,0.02,0.03,0.17,8.0,11.0,1.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Hardly urbanised,2018
12001,0.02,0.03,0.16,7.0,11.0,1.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Hardly urbanised,2019
12003,0.02,0.02,0.16,7.0,8.0,1.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Walking,Value,Hardly urbanised,2021
12276,0.04,1.04,1.38,15.0,381.0,8.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,The Netherlands,2018
12277,0.04,0.84,1.17,14.0,305.0,7.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,The Netherlands,2019
12278,0.03,0.5,0.72,11.0,183.0,4.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,The Netherlands,2020
12279,0.03,0.64,0.86,11.0,234.0,5.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,The Netherlands,2021
12280,0.04,0.79,1.07,13.0,288.0,6.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,The Netherlands,2022
12281,0.03,0.57,0.84,11.0,208.0,5.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,The Netherlands,2023
12282,0.04,1.54,1.63,16.0,563.0,9.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Nederland (LD),2018
12283,0.04,1.1,1.36,16.0,402.0,8.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Nederland (LD),2019
12284,0.03,0.65,0.79,13.0,237.0,4.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Nederland (LD),2020
12285,0.04,0.89,1.06,13.0,323.0,6.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Nederland (LD),2021
12286,0.05,1.15,1.33,17.0,421.0,8.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Nederland (LD),2022
12287,0.04,0.83,1.05,14.0,302.0,6.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Nederland (LD),2023
12288,0.04,1.14,1.49,15.0,417.0,9.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2018
12289,0.04,1.04,1.24,15.0,380.0,7.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2019
12290,0.03,0.69,0.89,13.0,252.0,5.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2020
12291,0.04,0.9,1.1,13.0,328.0,6.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2021
12292,0.04,0.93,1.2,14.0,341.0,7.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2022
12293,0.03,0.71,0.94,13.0,259.0,5.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2023
12294,0.04,0.89,1.27,15.0,326.0,7.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,West-Nederland (LD),2018
12295,0.04,0.77,1.21,14.0,283.0,7.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,West-Nederland (LD),2019
12296,0.03,0.44,0.72,10.0,159.0,4.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,West-Nederland (LD),2020
12297,0.03,0.5,0.75,10.0,184.0,4.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,West-Nederland (LD),2021
12298,0.03,0.62,0.94,12.0,226.0,5.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,West-Nederland (LD),2022
12299,0.03,0.5,0.82,11.0,182.0,5.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,West-Nederland (LD),2023
12300,0.05,1.05,1.42,17.0,382.0,8.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Nederland (LD),2018
12301,0.03,0.65,0.92,12.0,236.0,5.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Nederland (LD),2019
12302,0.03,0.39,0.54,10.0,141.0,3.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Nederland (LD),2020
12303,0.03,0.58,0.77,11.0,210.0,4.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Nederland (LD),2021
12304,0.03,0.85,1.1,13.0,310.0,6.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Nederland (LD),2022
12305,0.03,0.47,0.69,9.0,170.0,4.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Nederland (LD),2023
12324,0.05,1.41,1.93,17.0,515.0,11.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Overijssel (PV),2018
12325,0.05,0.96,1.24,16.0,350.0,7.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Overijssel (PV),2019
12327,0.04,0.68,0.87,13.0,249.0,5.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Overijssel (PV),2021
12329,0.04,0.71,1.04,14.0,259.0,6.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Overijssel (PV),2023
12336,0.04,1.02,1.28,14.0,372.0,7.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Gelderland (PV),2018
12337,0.04,1.02,1.19,14.0,371.0,7.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Gelderland (PV),2019
12338,0.03,0.5,0.73,12.0,183.0,4.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Gelderland (PV),2020
12339,0.03,0.99,1.22,12.0,361.0,7.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Gelderland (PV),2021
12340,0.04,1.1,1.36,15.0,402.0,8.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Gelderland (PV),2022
12341,0.03,0.7,0.92,12.0,257.0,5.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Gelderland (PV),2023
12342,0.04,0.95,1.28,14.0,347.0,7.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Utrecht (PV),2018
12344,0.02,0.52,0.69,9.0,192.0,4.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Utrecht (PV),2020
12345,0.03,0.55,0.71,10.0,199.0,4.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Utrecht (PV),2021
12346,0.03,0.67,0.87,10.0,244.0,5.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Utrecht (PV),2022
12347,0.03,0.48,0.76,10.0,177.0,4.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Utrecht (PV),2023
12348,0.04,0.77,1.13,14.0,283.0,6.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Holland (PV),2018
12349,0.04,0.75,1.2,16.0,275.0,7.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Holland (PV),2019
12350,0.03,0.4,0.68,10.0,147.0,4.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Holland (PV),2020
12351,0.02,0.39,0.57,8.0,142.0,3.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Holland (PV),2021
12352,0.03,0.57,0.89,12.0,209.0,5.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Holland (PV),2022
12353,0.03,0.42,0.75,10.0,153.0,4.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Holland (PV),2023
12354,0.04,0.98,1.4,14.0,357.0,8.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2018
12355,0.04,0.84,1.38,13.0,308.0,8.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2019
12356,0.03,0.42,0.77,10.0,154.0,4.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2020
12357,0.03,0.53,0.86,10.0,194.0,5.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2021
12358,0.03,0.58,0.95,12.0,213.0,5.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2022
12359,0.03,0.55,0.88,11.0,201.0,5.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2023
12366,0.05,1.1,1.44,17.0,402.0,8.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Brabant (PV),2018
12367,0.03,0.74,1.0,12.0,270.0,6.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Brabant (PV),2019
12368,0.03,0.36,0.52,10.0,133.0,3.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Brabant (PV),2020
12369,0.03,0.64,0.84,11.0,232.0,5.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Brabant (PV),2021
12370,0.04,0.96,1.2,13.0,349.0,7.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Brabant (PV),2022
12371,0.03,0.49,0.68,9.0,180.0,4.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Noord-Brabant (PV),2023
12372,0.05,0.93,1.36,17.0,338.0,8.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Limburg (PV),2018
12373,0.04,0.44,0.75,13.0,161.0,4.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Limburg (PV),2019
12374,0.03,0.44,0.6,11.0,160.0,3.7,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Limburg (PV),2020
12378,0.03,0.54,0.84,10.0,196.0,5.1,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Extremely urbanised,2018
12379,0.03,0.45,0.79,10.0,165.0,4.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Extremely urbanised,2019
12380,0.02,0.31,0.59,8.0,113.0,3.6,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Extremely urbanised,2020
12381,0.02,0.3,0.55,7.0,110.0,3.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Extremely urbanised,2021
12382,0.02,0.37,0.7,9.0,135.0,4.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Extremely urbanised,2022
12383,0.02,0.31,0.57,7.0,115.0,3.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Extremely urbanised,2023
12384,0.04,0.82,1.23,13.0,299.0,7.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Strongly urbanised,2018
12385,0.04,0.7,1.06,14.0,254.0,6.4,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Strongly urbanised,2019
12386,0.03,0.45,0.64,9.0,163.0,3.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Strongly urbanised,2020
12387,0.03,0.62,0.83,11.0,224.0,5.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Strongly urbanised,2021
12388,0.03,0.72,0.99,11.0,262.0,6.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Strongly urbanised,2022
12389,0.03,0.52,0.8,11.0,189.0,4.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Strongly urbanised,2023
12390,0.04,1.21,1.52,15.0,442.0,9.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Moderately urbanised,2018
12391,0.04,0.99,1.19,14.0,362.0,7.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Moderately urbanised,2019
12392,0.03,0.49,0.71,11.0,178.0,4.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Moderately urbanised,2020
12393,0.03,0.78,0.95,12.0,283.0,5.8,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Moderately urbanised,2021
12394,0.04,0.92,1.19,15.0,335.0,7.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Moderately urbanised,2022
12395,0.03,0.68,0.91,12.0,250.0,5.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Moderately urbanised,2023
12396,0.06,1.53,1.86,22.0,558.0,11.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Hardly urbanised,2018
12397,0.04,1.15,1.53,16.0,419.0,9.3,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Hardly urbanised,2019
12398,0.04,0.65,0.86,13.0,240.0,5.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Hardly urbanised,2020
12399,0.04,0.93,1.16,14.0,340.0,7.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Hardly urbanised,2021
12400,0.05,1.18,1.4,18.0,430.0,8.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Hardly urbanised,2022
12401,0.04,0.79,1.15,15.0,289.0,7.0,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Hardly urbanised,2023
12402,0.07,1.78,2.05,24.0,650.0,12.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Not urbanised,2018
12403,0.05,1.4,1.73,20.0,513.0,10.5,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Not urbanised,2019
12404,0.05,0.92,1.13,17.0,337.0,6.9,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Not urbanised,2020
12405,0.04,0.79,1.02,15.0,289.0,6.2,"Travel to/from work, (non)-daily commute",Population: 12 years or older,Other,Value,Not urbanised,2021
